Compound::DB00004	DRUGBANK::treats::Compound:Disease	Disease::MESH:C063419
Compound::DB00005	DRUGBANK::treats::Compound:Disease	Disease::MESH:D006086
Compound::DB00005	DRUGBANK::treats::Compound:Disease	Disease::MESH:D017497
Compound::DB00005	DRUGBANK::treats::Compound:Disease	Disease::MESH:D011565
Compound::DB00005	DRUGBANK::treats::Compound:Disease	Disease::MESH:D017511
Compound::DB00005	DRUGBANK::treats::Compound:Disease	Disease::MESH:D013262
Compound::DB00006	DRUGBANK::treats::Compound:Disease	Disease::MESH:D054058
Compound::DB00007	DRUGBANK::treats::Compound:Disease	Disease::MESH:D001943
Compound::DB00007	DRUGBANK::treats::Compound:Disease	Disease::MESH:D011629
Compound::DB00007	DRUGBANK::treats::Compound:Disease	Disease::MESH:D007246
Compound::DB00007	DRUGBANK::treats::Compound:Disease	Disease::MESH:D010146
Compound::DB00007	DRUGBANK::treats::Compound:Disease	Disease::MESH:D010262
Compound::DB00007	DRUGBANK::treats::Compound:Disease	Disease::MESH:D012008
Compound::DB00008	DRUGBANK::treats::Compound:Disease	Disease::MESH:D019694
Compound::DB00008	DRUGBANK::treats::Compound:Disease	Disease::MESH:D008103
Compound::DB00009	DRUGBANK::treats::Compound:Disease	Disease::MESH:D011655
Compound::DB00013	DRUGBANK::treats::Compound:Disease	Disease::MESH:D011655
Compound::DB00014	DRUGBANK::treats::Compound:Disease	Disease::MESH:D001943
Compound::DB00015	DRUGBANK::treats::Compound:Disease	Disease::MESH:D006333
Compound::DB00017	DRUGBANK::treats::Compound:Disease	Disease::MESH:D010024
Compound::DB00019	DRUGBANK::treats::Compound:Disease	Disease::MESH:D064146
Compound::DB00019	DRUGBANK::treats::Compound:Disease	Disease::MESH:D011832
Compound::DB00019	DRUGBANK::treats::Compound:Disease	Disease::MESH:D007239
Compound::DB00020	DRUGBANK::treats::Compound:Disease	Disease::MESH:D009503
Compound::DB00022	DRUGBANK::treats::Compound:Disease	Disease::MESH:D019698
Compound::DB00022	DRUGBANK::treats::Compound:Disease	Disease::MESH:D008545
Compound::DB00025	DRUGBANK::treats::Compound:Disease	Disease::MESH:D006470
Compound::DB00025	DRUGBANK::treats::Compound:Disease	Disease::MESH:D019106
Compound::DB00026	DRUGBANK::treats::Compound:Disease	Disease::MESH:D001171
Compound::DB00026	DRUGBANK::treats::Compound:Disease	Disease::MESH:D056587
Compound::DB00026	DRUGBANK::treats::Compound:Disease	Disease::MESH:C565798
Compound::DB00027	DRUGBANK::treats::Compound:Disease	Disease::MESH:D015821
Compound::DB00028	DRUGBANK::treats::Compound:Disease	Disease::MESH:D000077329
Compound::DB00028	DRUGBANK::treats::Compound:Disease	Disease::MESH:D017074
Compound::DB00028	DRUGBANK::treats::Compound:Disease	Disease::MESH:D000081207
Compound::DB00030	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003922
Compound::DB00031	DRUGBANK::treats::Compound:Disease	Disease::MESH:D000072
Compound::DB00035	DRUGBANK::treats::Compound:Disease	Disease::MESH:D006470
Compound::DB00035	DRUGBANK::treats::Compound:Disease	Disease::MESH:D004775
Compound::DB00036	DRUGBANK::treats::Compound:Disease	Disease::MESH:D006470
Compound::DB00042	DRUGBANK::treats::Compound:Disease	Disease::MESH:D012798
Compound::DB00043	DRUGBANK::treats::Compound:Disease	Disease::MESH:D000080
Compound::DB00044	DRUGBANK::treats::Compound:Disease	Disease::MESH:D007006
Compound::DB00046	DRUGBANK::treats::Compound:Disease	Disease::MESH:D016883
Compound::DB00046	DRUGBANK::treats::Compound:Disease	Disease::MESH:D016640
Compound::DB00046	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003922
Compound::DB00046	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003924
Compound::DB00047	DRUGBANK::treats::Compound:Disease	Disease::MESH:D003920
Compound::DB00048	DRUGBANK::treats::Compound:Disease	Disease::MESH:D004387
Compound::DB00048	DRUGBANK::treats::Compound:Disease	Disease::MESH:D010411
Compound::DB00051	DRUGBANK::treats::Compound:Disease	Disease::MESH:D017511
Compound::DB00051	DRUGBANK::treats::Compound:Disease	Disease::MESH:C565798
